,DIA,FRANJA_HORARIA,sum(NUM_OP)
0,2015-01-02,00-02,5
1,2015-01-02,02-04,4
2,2015-01-02,04-06,2
3,2015-01-02,06-08,1
4,2015-01-02,08-10,111
5,2015-01-02,10-12,1554
6,2015-01-02,12-14,3081
7,2015-01-02,14-16,1012
8,2015-01-02,16-18,1386
9,2015-01-02,18-20,3220
10,2015-01-02,20-22,1982
11,2015-01-02,22-24,117
12,2015-01-03,00-02,25
13,2015-01-03,02-04,5
14,2015-01-03,04-06,11
15,2015-01-03,06-08,2
16,2015-01-03,08-10,127
17,2015-01-03,10-12,1876
18,2015-01-03,12-14,3807
19,2015-01-03,14-16,1280
20,2015-01-03,16-18,1419
21,2015-01-03,18-20,2788
22,2015-01-03,20-22,1795
23,2015-01-03,22-24,157
24,2015-01-05,00-02,12
25,2015-01-05,02-04,5
26,2015-01-05,04-06,1
27,2015-01-05,06-08,2
28,2015-01-05,08-10,178
29,2015-01-05,10-12,2218
30,2015-01-05,12-14,3499
31,2015-01-05,14-16,1703
32,2015-01-05,16-18,1733
33,2015-01-05,18-20,1908
34,2015-01-05,20-22,1308
35,2015-01-05,22-24,276
36,2015-07-01,00-02,20
37,2015-07-01,02-04,3
38,2015-07-01,04-06,6
39,2015-07-01,06-08,3
40,2015-07-01,08-10,217
41,2015-07-01,10-12,1845
42,2015-07-01,12-14,2140
43,2015-07-01,14-16,870
44,2015-07-01,16-18,852
45,2015-07-01,18-20,1985
46,2015-07-01,20-22,1849
47,2015-07-01,22-24,142
48,2015-11-27,00-02,19
49,2015-11-27,02-04,4
50,2015-11-27,04-06,3
51,2015-11-27,06-08,6
52,2015-11-27,08-10,207
53,2015-11-27,10-12,1637
54,2015-11-27,12-14,2158
55,2015-11-27,14-16,988
56,2015-11-27,16-18,1313
57,2015-11-27,18-20,2695
58,2015-11-27,20-22,1853
59,2015-11-27,22-24,241
60,2015-11-28,00-02,41
61,2015-11-28,02-04,10
62,2015-11-28,04-06,16
63,2015-11-28,06-08,2
64,2015-11-28,08-10,146
65,2015-11-28,10-12,1614
66,2015-11-28,12-14,2812
67,2015-11-28,14-16,1088
68,2015-11-28,16-18,969
69,2015-11-28,18-20,1539
70,2015-11-28,20-22,1458
71,2015-11-28,22-24,166
72,2015-12-22,00-02,10
73,2015-12-22,02-04,4
74,2015-12-22,06-08,7
75,2015-12-22,08-10,180
76,2015-12-22,10-12,1688
77,2015-12-22,12-14,2186
78,2015-12-22,14-16,756
79,2015-12-22,16-18,1039
80,2015-12-22,18-20,2370
81,2015-12-22,20-22,1500
82,2015-12-22,22-24,110
83,2015-12-23,00-02,12
84,2015-12-23,02-04,6
85,2015-12-23,04-06,5
86,2015-12-23,06-08,5
87,2015-12-23,08-10,246
88,2015-12-23,10-12,1897
89,2015-12-23,12-14,2882
90,2015-12-23,14-16,1093
91,2015-12-23,16-18,1323
92,2015-12-23,18-20,2786
93,2015-12-23,20-22,1766
94,2015-12-23,22-24,139
95,2015-12-29,00-02,14
96,2015-12-29,02-04,6
97,2015-12-29,04-06,2
98,2015-12-29,06-08,6
99,2015-12-29,08-10,152
100,2015-12-29,10-12,1426
101,2015-12-29,12-14,2456
102,2015-12-29,14-16,792
103,2015-12-29,16-18,980
104,2015-12-29,18-20,2380
105,2015-12-29,20-22,1554
106,2015-12-29,22-24,110
107,2015-12-30,00-02,19
108,2015-12-30,02-04,3
109,2015-12-30,04-06,1
110,2015-12-30,06-08,3
111,2015-12-30,08-10,173
112,2015-12-30,10-12,1746
113,2015-12-30,12-14,2654
114,2015-12-30,14-16,1107
115,2015-12-30,16-18,1209
116,2015-12-30,18-20,2698
117,2015-12-30,20-22,1738
118,2015-12-30,22-24,114
