,SECTOR,DIA,sum(NUM_OP)
0,ALIMENTACION,2015-12-23,4398
1,ALIMENTACION,2015-12-05,3944
2,ALIMENTACION,2015-12-30,3907
3,ALIMENTACION,2015-11-07,3817
4,ALIMENTACION,2015-12-12,3794
5,ALIMENTACION,2015-12-19,3767
6,ALIMENTACION,2015-04-01,3765
7,ALIMENTACION,2015-05-02,3738
8,ALIMENTACION,2015-04-04,3666
9,ALIMENTACION,2015-04-11,3637
10,AUTO,2015-01-02,105
11,AUTO,2015-12-04,99
12,AUTO,2015-10-07,92
13,AUTO,2015-07-10,88
14,AUTO,2015-12-30,88
15,AUTO,2015-07-15,87
16,AUTO,2015-07-08,86
17,AUTO,2015-04-01,85
18,AUTO,2015-07-17,84
19,AUTO,2015-07-21,84
20,BELLEZA,2015-12-11,456
21,BELLEZA,2015-04-30,445
22,BELLEZA,2015-12-04,432
23,BELLEZA,2015-12-23,418
24,BELLEZA,2015-05-29,416
25,BELLEZA,2015-10-09,407
26,BELLEZA,2015-06-05,405
27,BELLEZA,2015-12-30,403
28,BELLEZA,2015-05-15,394
29,BELLEZA,2015-05-08,392
30,HOGAR,2015-01-05,1470
31,HOGAR,2015-01-03,1077
32,HOGAR,2015-01-02,982
33,HOGAR,2015-01-04,781
34,HOGAR,2015-12-23,693
35,HOGAR,2015-12-30,686
36,HOGAR,2015-12-28,638
37,HOGAR,2015-11-27,634
38,HOGAR,2015-12-29,630
39,HOGAR,2015-12-22,577
40,MODA Y COMPLEMENTOS,2015-01-03,5069
41,MODA Y COMPLEMENTOS,2015-01-02,4991
42,MODA Y COMPLEMENTOS,2015-11-27,4619
43,MODA Y COMPLEMENTOS,2015-07-01,4276
44,MODA Y COMPLEMENTOS,2015-01-05,4238
45,MODA Y COMPLEMENTOS,2015-01-04,3704
46,MODA Y COMPLEMENTOS,2015-07-02,3480
47,MODA Y COMPLEMENTOS,2015-12-30,3415
48,MODA Y COMPLEMENTOS,2015-12-23,3273
49,MODA Y COMPLEMENTOS,2015-12-29,3175
50,OCIO Y TIEMPO LIBRE,2015-01-03,1276
51,OCIO Y TIEMPO LIBRE,2015-01-02,1215
52,OCIO Y TIEMPO LIBRE,2015-01-05,969
53,OCIO Y TIEMPO LIBRE,2015-12-23,760
54,OCIO Y TIEMPO LIBRE,2015-01-04,728
55,OCIO Y TIEMPO LIBRE,2015-12-28,705
56,OCIO Y TIEMPO LIBRE,2015-12-29,688
57,OCIO Y TIEMPO LIBRE,2015-12-22,679
58,OCIO Y TIEMPO LIBRE,2015-12-30,679
59,OCIO Y TIEMPO LIBRE,2015-12-21,589
60,OTROS,2015-12-23,1119
61,OTROS,2015-01-05,1081
62,OTROS,2015-01-03,976
63,OTROS,2015-11-27,956
64,OTROS,2015-11-28,954
65,OTROS,2015-12-30,941
66,OTROS,2015-12-19,926
67,OTROS,2015-02-27,924
68,OTROS,2015-01-02,919
69,OTROS,2015-12-05,918
70,RESTAURACION,2015-02-14,756
71,RESTAURACION,2015-12-19,728
72,RESTAURACION,2015-12-20,698
73,RESTAURACION,2015-11-28,674
74,RESTAURACION,2015-11-07,663
75,RESTAURACION,2015-12-12,662
76,RESTAURACION,2015-09-12,632
77,RESTAURACION,2015-12-05,600
78,RESTAURACION,2015-12-13,599
79,RESTAURACION,2015-10-24,588
80,SALUD,2015-05-05,803
81,SALUD,2015-11-03,796
82,SALUD,2015-04-06,780
83,SALUD,2015-12-09,777
84,SALUD,2015-05-04,765
85,SALUD,2015-05-06,755
86,SALUD,2015-05-11,748
87,SALUD,2015-05-18,744
88,SALUD,2015-04-07,744
89,SALUD,2015-11-05,743
90,TECNOLOGIA,2015-01-05,335
91,TECNOLOGIA,2015-01-02,331
92,TECNOLOGIA,2015-01-03,331
93,TECNOLOGIA,2015-12-30,245
94,TECNOLOGIA,2015-12-28,215
95,TECNOLOGIA,2015-12-23,201
96,TECNOLOGIA,2015-06-25,196
97,TECNOLOGIA,2015-12-21,194
98,TECNOLOGIA,2015-12-29,191
99,TECNOLOGIA,2015-12-24,173
